id,question,A,B,C,D.,answer,category
632,O comando para a shell ver linhas de 5 a 10 de test.txt é:,"sed -i '5,10p' test.txt","sed -n '5,10h' test.txt","sed -n '5,10p' test.txt","sed -i '5,10n' test.txt",B,Operating system
633,"Quando uma string é envolvida em aspas simples (''), o SHELL irá:",interpretar caracteres especiais dentro das aspas,executar o comando dentro das aspas,caracteres especiais dentro das aspas não são interpretados,terminar o processo,A,Middleware
634,Suponha que você precise escrever um script para limpar periodicamente o log de consultas lentas no servidor MySQL. Qual dos seguintes trechos de script Bash implementa corretamente essa funcionalidade?,rm -f /var/log/mysql/mysql-slow.log,"echo """" > /var/log/mysql/mysql-slow.log","""rm /var/log/mysql/mysql-slow.log service mysql restart""",> /var/log/mysql/mysql-slow.log,D.,Middleware
635,Como excluir um subdiretório não vazio /tmp, del /tmp/*, rm -rf /tmp, rm -Ra /tmp/*, rm –rf /tmp/*,B,Middleware
636,Qual das seguintes afirmações sobre o princípio de armazenamento de computadores está incorreta ( )?,A memória é composta por um grande número de células de memória que podem armazenar dados binários,O processo de obtenção de dados da memória pelo barramento de dados é chamado de operação de escrita,"Quando o programa é executado, ler uma instrução significa que o computador automaticamente busca uma instrução da memória",A tecnologia de armazenamento virtual alivia o contraste da pequena capacidade de memória principal,A,Middleware
637,"Para visualizar o arquivo de log atualizado continuamente, o comando que pode ser usado é ( )?",cat -n,vim,more,tail -f,D.,Middleware
638,Qual das seguintes descrições sobre processos órfãos e processos zumbis está incorreta ( )?,"Processo órfão: Um processo pai sai, e um ou mais de seus processos filhos ainda estão em execução, então esses processos filhos se tornarão processos órfãos.","Processo zumbi: Um processo usa fork para criar um processo filho. Se o processo filho sair e o processo pai não chamar wait ou waitpid para obter as informações de estado do processo filho, o descritor de processo do processo filho ainda será salvo no sistema. Esse tipo de processo é chamado de processo zumbi.","Processos órfãos serão adotados pelo processo init (número do processo 1), e o processo init completará o trabalho de coleta de estado para eles.",Tanto os processos órfãos quanto os processos zumbis podem impedir o sistema de gerar novos processos e devem ser evitados,C,Operating system
639,"No Linux, o comando tcpdump é usado para monitorar os dados do host da outra parte com o IP 192.168.72.125, placa de rede ens32, e porta tcp 80. O comando correspondente é ( )?",tcpdump -i ens32 -nn 'tcp and host 192.168.72.125:80',tcpdump -h ens32 -nn 'tcp and host 192.168.72.125:80',tcpdump -i ens32 -nn 'tcp and port 80 and host 192.168.72.125',tcpdump -h ens32 -nn 'tcp and port 80 and host 192.168.72.125',A,Operating system
640,"Em relação à diferença entre bibliotecas estáticas e dinâmicas, qual das seguintes afirmações está incorreta ( )?",Programas que carregam bibliotecas dinâmicas executam relativamente rápido,As bibliotecas estáticas são adicionadas como parte do programa para uso,Bibliotecas dinâmicas estão disponíveis para economizar memória e espaço em disco,A recompilação de biblioteca estática requer que o aplicativo seja recompilado,B,Middleware
641,"Command: [ -z """" ] && echo 0 || what is the output of echo 1 ( )?",1,0,10,11,C,Network 
642,"No Linux, dois processos podem abrir o mesmo arquivo ao mesmo tempo. Nesse momento, a seguinte descrição está errada: ( )?",Gerar dois fds independentes em dois processos,"Um processo pode modificar o tamanho e o conteúdo do arquivo, e outro processo pode perceber imediatamente","O processo pode bloquear o arquivo através da chamada do sistema, para realizar a proteção do conteúdo do arquivo","Quando qualquer processo exclui o arquivo, outro processo imediatamente falha ao ler e escrever",D.,Information security 
643,"No processo Linux, o endereço de início da aplicação é o mesmo, como fazer ( )?",distinção de tempo de compilação,Use conversão de memória virtual,Diferentes endereços reais são alocados durante a execução,nenhum dos dois,C,Middleware
644,"O nome de um arquivo é file.Z, o comando que pode ser usado para descompactar é ()?",tar,gzip,compress,uncompress,C,Application
645,"Você é responsável pelo sistema de banco de dados de uma empresa, o qual inclui MySQL e Redis, executando em 4 servidores, cada um com a mesma configuração e implantação. Entre eles, 2 servidores estão localizados na sala de computadores A, e 2 servidores estão localizados na sala de computadores B. Você agora precisa projetar um plano de recuperação de desastres para garantir a alta disponibilidade e a segurança dos dados do sistema de banco de dados. Qual das seguintes estratégias é razoável?",Configure um servidor na sala de computadores A e na sala de computadores B como servidor de backup e inicie apenas quando o servidor principal falhar,"Utilize a tecnologia de balanceamento de carga, configure todos os 4 servidores como um cluster e habilite a sincronização de dados ao mesmo tempo","Selecione um servidor na sala de computadores A e na sala de computadores B para backup em dual-machine quente. Quando um dos computadores falhar, alternará imediatamente para o outro","Configure um servidor principal, escolha um na sala de computadores A e um na sala de computadores B como servidores de backup e alternará apenas quando o servidor principal falhar",A,Information security 
646,"No Linux, qual é o limite teórico superior do número de conexões TCP que uma porta pode aceitar ( )?",1024,65535,65535 * 65535,ilimitado,B,Operating system
647,O protocolo arp usa ( ),broadcast,multicast,unicast,None of the above options are correct,D.,Middleware
648,Quais são os comandos e operações que podem ser usados para terminar um processo em primeiro plano? ( ),kill,ctrl+C,shut down,stop,B,Middleware
649,"After exiting the Unix system account, you need to continue to run a certain process, so you can use ( )",awk,sed,crontab,nohup,D.,Operating system
650,O comando para verificar o status de montagem do disco sob linux é ( ):,rpm,mount,netstat,df,C,Middleware
651,"Execute o comando sleep 100, pressione ctrl+z e o prompt será [1]+ Sleep 100 has been stopped, você pode continuar a colocar o processo no primeiro plano e acordar a execução da seguinte maneira: ( )",kill 1,Ctrl+h,fg 1,bg 1,C,Middleware
652,"Em relação à interface de multiplexação de I/O select e epoll do Linux, qual das seguintes afirmações está errada ( )","Quando select é chamado, será realizada uma iteração linear, e epoll usa um mecanismo de função de callback, que não requer iteração linear",select é mais adequado para cenários com um grande número de conexões concorrentes e muitas conexões ativas,epoll é mais adequado para cenários com um grande número de conexões concorrentes mas poucas conexões ativas,A eficiência de epoll não diminui linearmente conforme o número de FD aumenta,B,Middleware
653,Which of the following is not a database optimization technique ( ),"Separar dados, logs e índices em diferentes dispositivos de alta performance I/O",Agregar tabelas verticalmente e horizontalmente para reduzir o número de tabelas,"A cláusula OR pode ser decomposta em várias consultas, e várias consultas podem ser vinculadas pelo UNION","Colocar o trabalho de processamento de dados no servidor, por exemplo, você pode usar mais stored procedures",B,Operating system
654,IAAS é a abreviação de ( ),software as a service,platform as a service,Infrastructure as a Service,hardware as a service,B,Operating system
655,Os componentes do OpenStack não incluem (),Nova,Swift,Keystone,EC2,B,Operating system
656,Your application must run in a containerized manner and need to interact with several different database services. Which of the following scenarios is a reasonable approach to service discovery and registration?,Hardcode the IP addresses of all services into each container's /etc/hosts file,"Use DNS service for service discovery, manually register a DNS record for each service","Use Kubernetes as a container scheduler, combined with its built-in service discovery and load balancing capabilities",Use a shell script to periodically scan the network and dynamically generate a configuration file containing all service addresses,D.,Infrastructure
657,( ) Possui capacidade de verificação de dados e oferece tolerância a falhas de dados,Raid 5,Raid 2,Raid 1,Raid 0,C,Database
658,( ) é a pedra angular da infraestrutura de computação em nuvem pública,Virtualização,distribuído,paralelo,centralizado,B,Middleware
659,( ) se refere ao serviço que fornece aos usuários a implantação de software de aplicativos e ambiente operacional na infraestrutura de computação em nuvem.,SAAS,PASS,IAAS,HAAS,B,Middleware
660,"Os direitos de acesso a arquivos do Linux têm um total de 10 dígitos, divididos em quatro seções, e o conteúdo indicado pela terceira seção (...) é:",tipo de arquivo,permissões do proprietário do arquivo,permissões para grupos aos quais o proprietário do arquivo pertence,permissões para outros usuários,A,Middleware
661,O comando para deletar um arquivo no sistema linux é ( ),mkdir,rmdir,mv,rm,A,Operating system
662,O comando para comprimir arquivos no Linux é ( ),dd,cp,gzip,tar,B,Network 
663,O comando ( ) pode interceptar os dados de conteúdo especificados de cada linha do arquivo de texto.,cp,dd,fmt,cut,C,Operating system
664,"O endereço de rede da LAN é 192.168.1.0/24, o endereço do gateway que conecta a LAN a outras redes é 192.168.1.1, e quando o host 192.168.1.20 acessa a rede 172.16.1.0/24, a configuração de roteamento está correta ( )",route add –net 192.168.1.0 gw 192.168.1.1 netmask 255.255.255.0 metric1,route add –net 172.16.1.0 gw 192.168.1.1 netmask 255.255.255.255 metric1,route add –net 172.16.1.0 gw 172.16.1.1 netmask 255.255.255.0 metric 1,route add default 192.168.1.0 netmask 172.168.1.1 metric 1,A,Middleware
665,"Em relação à descrição do seguinte link, o incorreto é ():",Um link físico é fazer com que o número do i-node do arquivo vinculado aponte para o i-node do arquivo vinculado,Tanto os links físicos quanto os links simbólicos geram um novo inode,Os links são divididos em links físicos e links simbólicos,Os links físicos não podem vincular arquivos de diretório,A,Operating system
666,"Entre os seguintes arquivos, o arquivo que contém a relação de mapeamento entre o nome do host e o endereço IP é ():",", /etc/HOSTNAME",", /etc/hosts", /etc/resolv.conf, /etc/networks,B,Operating system
667,"Em gestão de falhas, geralmente existem três indicadores para descrever as características das falhas, entre os quais o índice formulado de acordo com o grau de influência e urgência para descrever a sequência de tratamento das falhas é ( )",Influência,urgência,prioridade,Crise,B,Infrastructure
668,"Na Rede, qual dos seguintes protocolos é usado para roteamento?",HTTP,FTP,OSPF,SMTP,C,Operating system
669,"No modelo TCP/IP, a camada de aplicação inclui todos os protocolos de alto nível. Entre os seguintes protocolos de aplicação, ( ) pode realizar transferência de arquivos entre hosts locais e remotos.",telnet,FTP,SNMP,NFS,C,Middleware
670,The DNS domain name system is mainly responsible for the resolution between host names and (IP address),IP address,MAC address,website address,host alias,B,Infrastructure
671,"Os arquivos do sistema de arquivos Linux são classificados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, eles devem geralmente ser colocados no diretório ( )",/bin,/etc,/dev,/lib,B,Middleware
672,DHCP é a abreviação de Dynamic Host Configuration Protocol. Sua função é permitir que administradores de rede gerenciem um sistema de rede através de um servidor e atribuam automaticamente ( ) endereços a hosts em uma rede.,network,MAC,TCP,IP,D.,Operating system
673,Qual das seguintes afirmações sobre TCP e UDP está correta ( ),são sem conexão,"o TCP é sem conexão, o UDP é orientado a link","o TCP é adequado para redes de área ampla com baixa confiabilidade, e o UDP é adequado para redes locais com alta confiabilidade","o TCP é adequado para redes locais com alta confiabilidade, e o UDP é adequado para redes de área ampla com baixa confiabilidade",D.,Operating system
